true\pred,0,1,2,3,4,5,6,7,8,9,10,11,MISSING
0,0,0,0,0,0,0,0,0,0,0,0,11,0
1,0,0,0,0,0,0,0,0,0,0,0,102,0
2,0,0,0,0,0,0,0,0,0,0,0,9,0
3,0,0,0,1,0,0,0,0,0,0,0,82,0
4,0,0,0,0,0,0,0,0,0,0,0,15,0
5,0,0,0,0,0,0,0,0,0,0,0,13,0
6,0,0,0,0,0,0,0,0,0,0,0,159,0
7,0,0,0,0,0,0,0,0,0,0,0,27,0
8,0,0,0,0,0,0,0,0,0,0,0,44,0
9,0,0,0,0,0,0,0,0,0,0,0,21,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,130,0
